Right     | Right     | Y
Right     | UpRight   | X
Right     | Up        | W
Right     | UpLeft    | V
Right     | Left      | U
Right     | DownLeft  | None
;Right    | Down      | Space
Right     | DownRight | Minus
UpRight   | Right     | T
UpRight   | UpRight   | S
UpRight   | Up        | R
UpRight   | UpLeft    | Q
UpRight   | Left      | P
UpRight   | DownLeft  | None
UpRight   | Down      | Alt
UpRight   | DownRight | Grave
Up        | Right     | O
Up        | UpRight   | N
Up        | Up        | M
Up        | UpLeft    | L
Up        | Left      | K
Up        | DownLeft  | None
Up        | Down      | Tab
Up        | DownRight | Leftbrace
UpLeft    | Right     | J
UpLeft    | UpRight   | I
UpLeft    | Up        | H
UpLeft    | UpLeft    | G
UpLeft    | Left      | F
UpLeft    | DownLeft  | None
UpLeft    | Down      | Control
UpLeft    | DownRight | Backslash
Left      | Right     | E
Left      | UpRight   | D
Left      | Up        | C
Left      | UpLeft    | B
Left      | Left      | A
Left      | DownLeft  | None
;Left     | Down      | Backspace
Left      | DownRight | Semicolon
DownLeft  | Right     | 1
DownLeft  | UpRight   | 2
DownLeft  | Up        | 3
DownLeft  | UpLeft    | 4
DownLeft  | Left      | 5
DownLeft  | DownLeft  | Windows
DownLeft  | Down      | None
DownLeft  | DownRight | None
Down      | Right     | 6
Down      | UpRight   | 7
Down      | Up        | 8
Down      | UpLeft    | 9
Down      | Left      | 0
Down      | DownLeft  | Equal
;Down     | Down      | Enter
Down      | DownRight | Rightbrace
DownRight | Right     | Comma
DownRight | UpRight   | Dot
DownRight | Up        | Apostrophe
DownRight | UpLeft    | Slash
DownRight | Left      | Z
DownRight | DownLeft  | None
DownRight | Down      | Delete
DownRight | DownRight | None
