Right     | Right     | Y
Right     | UpRight   | X
Right     | Up        | W
Right     | UpLeft    | V
Right     | Left      | U
Right     | DownLeft  | None
;Right    | Down      | Space
Right     | DownRight | -
UpRight   | Right     | T
UpRight   | UpRight   | S
UpRight   | Up        | R
UpRight   | UpLeft    | Q
UpRight   | Left      | P
UpRight   | DownLeft  | None
UpRight   | Down      | Alt
UpRight   | DownRight | `
Up        | Right     | O
Up        | UpRight   | N
Up        | Up        | M
Up        | UpLeft    | L
Up        | Left      | K
Up        | DownLeft  | None
Up        | Down      | Tab
Up        | DownRight | [
UpLeft    | Right     | J
UpLeft    | UpRight   | I
UpLeft    | Up        | H
UpLeft    | UpLeft    | G
UpLeft    | Left      | F
UpLeft    | DownLeft  | None
UpLeft    | Down      | Control
UpLeft    | DownRight | \
Left      | Right     | E
Left      | UpRight   | D
Left      | Up        | C
Left      | UpLeft    | B
Left      | Left      | A
Left      | DownLeft  | None
;Left     | Down      | Backspace
Left      | DownRight | Semicolon
DownLeft  | Right     | 1
DownLeft  | UpRight   | 2
DownLeft  | Up        | 3
DownLeft  | UpLeft    | 4
DownLeft  | Left      | 5
DownLeft  | DownLeft  | Windows
DownLeft  | Down      | None
DownLeft  | DownRight | None
Down      | Right     | 6
Down      | UpRight   | 7
Down      | Up        | 8
Down      | UpLeft    | 9
Down      | Left      | 0
Down      | DownLeft  | =
;Down     | Down      | Enter
Down      | DownRight | ]
DownRight | Right     | Comma
DownRight | UpRight   | Dot
DownRight | Up        | '
DownRight | UpLeft    | /
DownRight | Left      | Z
DownRight | DownLeft  | None
DownRight | Down      | Delete
DownRight | DownRight | None
